# Phase 16.10 — curated hype board. ROWS ARE DERIVED (adp/hype_board.py::nominate);
# pick_delta / note / source / confidence / reviewed are CURATED and are yours to edit.
# pick_delta > 0 = the room drafts him EARLIER than the consensus board says, in picks.
# CURATED, NOT BACKTESTED: 16.8 found no per-player drift signal and 16.9 found the narrative
# shock unidentified, so nothing in Phase 16 validates these numbers. The board is opt-in and
# default OFF everywhere; set reviewed=true only for rows you personally stand behind.
# Regenerate with: uv run python steps/phase16_10_hype_board.py --write   (your edits survive)
season,gsis_id,player,position,team,adp,pick_delta,note,source,evidence,confidence,reviewed
2026,00-0037263,Tyler Allgeier,RB,ARI,167.0,-3.0,"⚠ SIGNALS CONFLICT, deliberately left visible. Signed to start in Arizona, then the Cardinals took Jeremiyah Love at No. 3 — coverage now says timeshare at best, behind Conner and Benson too. But he is a live momentum RISER (+0.20 rounds/wk), i.e. the drafting public is moving the other way from the analysis. Small delta in the direction of the reporting; a reviewer who trusts the market should zero it.","draftsharks.com,cbssports.com",derived+web,low,False
2026,00-0037746,Brian Robinson Jr.,RB,ATL,163.9,0.0,"NO CLAIM. Carries the highest ADP disagreement on the entire board (sd 32.7, +5.3 SD for his depth) — but research says that is *contingency*, not hype: he is the pure handcuff to a Bijan Robinson who has never missed a game. Some drafters take a handcuff two rounds early, most never take one, and that bimodality is what a large standard deviation looks like. A good example of the nomination working and the narrative reading not supporting a directional claim.","fantasypros.com,establishtherun.com",derived+web,high,False
2026,00-0039384,Tyrone Tracy Jr.,RB,NYG,151.8,4.0,Averaged 13.6 ppg once he took the job in 2025 and is the direct handcuff to a Skattebo backfield with injury questions. Rising on the live series (+0.18 rounds/wk). Contingent value that a room prices earlier than a projection does.,"cbssports.com,fantasypros.com",derived+web,med,False
2026,00-0035710,Daniel Jones,QB,IND,159.8,12.0,"Two-year $88M deal, locked in as the starter; was QB9 in points/game before the Achilles tear and QB5 over the first 10 weeks of 2025. Priced QB25 (~144 overall) while coverage argues he should be a top-10 QB. Largest momentum riser on the live board (+5.3 picks/wk). Risk that caps it: not yet cleared, Riley Leonard behind him.","nbcsports.com,footballguys.com",derived+web,high,False
2026,LEM694125,Makai Lemon,WR,PHI,106.3,5.0,"'Most complete receiver in the class' who fell to Philadelphia at 20 — a landing-spot steal narrative, which is the specific shape of story that moves an August board. Live momentum mildly positive (+0.12 rounds/wk).","rotoballer.com,fantasypros.com",derived+web,med,False
2026,TYS405541,Jordyn Tyson,WR,NO,83.8,5.0,"Called by several outlets the best receiver in the class on tape, first-round pick despite a serious college injury history — 'most intriguing upside relative to cost'. Upside framing is what drives a reach; the injury history is what caps it.","rotoballer.com,rotostreetjournal.com",derived+web,med,False
2026,BOS677861,Denzel Boston,WR,CLE,132.7,8.0,"Named in preseason coverage as a receiver expected to 'steam up' boards — cited as the ideal camp-highlight body type (size + hands). Live momentum agrees (+0.12 rounds/wk). This is a narrative riser, not a role-change riser.","fantasypros.com,rotoballer.com",derived+web,high,False
2026,00-0039150,Bryce Young,QB,CAR,161.8,0.0,"NO CLAIM. Second-highest ADP disagreement, but the coverage is uniformly cautious — 'make-or-break', not recommended in 1QB leagues, worst-in-class efficiency over three seasons. The spread is a market that cannot agree whether he is startable at all, which is disagreement without direction.","cbssports.com,fantasylife.com",derived+web,high,False
2026,00-0040583,Woody Marks,RB,HOU,135.2,-5.0,"Houston signed David Montgomery to be the bell cow, pushing Marks back into the third-down pass-catching role he was drafted for. His high ADP disagreement is the market still repricing that signing.","fantasylife.com,espn.com",derived+web,high,False
2026,PRI206342,Jadarian Price,RB,SEA,72.8,5.0,"First-round RB (No. 32) drawing heavy Offensive Rookie of the Year betting action, with the team's own camp preview asking whether he wins the starting job outright. An unresolved starting job plus draft capital is a reach magnet.","seahawks.com,cbssports.com",derived+web,med,False
