season,team,head_coach,defensive_coordinator,play_caller,hc_calls_defense,in_house,confidence,notes
# Phase 0.13.1 defensive play-caller regime table (T48).
# THE SECOND PIECE WITH NO FREE SOURCE.
# ★ GENERATED by steps/phase0_13_1_defense_history.py - NEVER hand-edit a row. The research lives
#   in that step's REGIMES block, where it can be diffed and argued with; this file is its output.
#   (The 16.5 derived-vs-curated lesson applied to a curated artefact: curation still gets a
#   provenance, and a hand-edit would put the artefact and its reasoning out of sync.)
# 2026 rows (32): USER-SIGNED-OFF 2026-08-03 at confidence=high; verbatim copy preserved at
#   reference/defense_coaches_2026_signed_off_2026-08-03.csv. Passed through unchanged.
# Historical rows: Claude-researched + web-verified 2026-08-03. head_coach is auto-filled from
#   pbp.home_coach/away_coach (exact, PIT) AND compared against the researcher's expectation, so
#   the audit is a real check rather than a tautology - a row whose head coach disagrees with pbp
#   is a row about the wrong regime.
# Scope = 2026 plus the PRIOR REGIMES OF THE 2026 PLAY-CALLERS (user decision), not a complete
#   defensive staff history of all 32 teams.
# Inclusion rule = the named person called the defense for the MAJORITY of the team's games.
#   Excluded seasons are documented in an adjacent row's notes and NEVER averaged. Nine seasons are
#   excluded this way; four of them (NYJ 2015-18 Bowles, NYJ 2021-24 Saleh, ATL 2024-25 Morris,
#   ARI 2023-25 Gannon) are regimes a title-keyed table would have invented.
# play_caller is the person who CALLS IT, never the person holding the title (the Monken rule).
#   It cuts BOTH ways here: NE 2018 has a play-caller with no coordinator title at all.
# in_house = the play-caller was already on THIS staff last season. 0 => a transport event.
# (none) = the team carried no DC title that season. (unknown) = there was one, unverified. The
#   two are different claims and are never collapsed.
# confidence: high = an attribution verified against a source this session; med = believed correct
#   and internally consistent, not individually verified; low = must verify before use.
2014,ARI,Bruce Arians,Todd Bowles,Todd Bowles,0,1,med,The regime that produced the NYJ head-coaching job.
2014,SEA,Pete Carroll,Dan Quinn,Dan Quinn,0,1,med,Second season of the 2013-14 regime that produced the ATL head-coaching job.
2014,SF,Jim Harbaugh,Vic Fangio,Vic Fangio,0,1,med,The last season of his 2011-14 SF regime; earlier seasons are outside the pbp window.
2015,CHI,John Fox,Vic Fangio,Vic Fangio,0,0,med,Survived the Fox→Nagy change; the 2018 defense produced the DEN head-coaching job.
2015,NYG,Tom Coughlin,Steve Spagnuolo,Steve Spagnuolo,0,0,med,Second NYG stint. Survived the Coughlin→McAdoo change.
