season,team,head_coach,offensive_coordinator,play_caller,hc_calls_plays,in_house,confidence,notes
# Phase 16.3 / 16.3b playcaller-regime reference table. THE ONE PIECE WITH NO FREE SOURCE.
# 2026 rows (32): user-signed-off 2026-07-24 at confidence=high after three correction rounds;
#   verbatim original preserved at reference/coaches_2026_signed_off_2026-07-24.csv.
# Historical rows: Claude-researched 2026-07-24/25 (web-verified) - USER REVIEW OWED before 16.4.
# head_coach on every pre-2026 row is auto-filled from pbp.home_coach/away_coach (exact, PIT) and
#   is re-audited by steps/phase16_3b_coach_history.py - so review effort belongs on the
#   offensive_coordinator / play_caller / hc_calls_plays columns.
# Scope = team-seasons whose PLAY-CALLER we need to fingerprint (prior regimes of the 2026
#   play-callers + legacy DEV-window rows), NOT a complete staff history of all 32 teams.
# A season is included only if the named person called plays for the MAJORITY of the team's
#   games; excluded partial seasons are documented in the notes of an adjacent row.
# in_house = 'this season's play-caller was already on this team's staff the previous season'.
#   in_house=0 => a new playcaller regime (a 16.4 transport event). Sufficient, not necessary:
#   an internal promotion (DEN 2026 - Payton hands the offense to QB coach Davis Webb) is
#   in_house=1 and still a new regime.
# offensive_coordinator sentinels: (none) = the team carried no OC title that season;
#   (unknown) = there was one and it was not verified.
# confidence: high = web-verified this session and internally consistent; med = believed
#   correct, not individually verified (or a partial/split season); low = must verify.
2014,ATL,Mike Smith,Dirk Koetter,Dirk Koetter,0,0,med,Koetter arrives from JAX; Julio/Ryan pass-heavy.
2014,CLE,Mike Pettine,Kyle Shanahan,Kyle Shanahan,0,0,high,"OC and play-caller under defensive HC Mike Pettine; one season, left for ATL."
2014,GB,Mike McCarthy,Tom Clements,Mike McCarthy,1,1,high,HC and play-caller. 2015 EXCLUDED: he ceded the calls to Tom Clements and only reclaimed them in Week 14.
2014,KC,Andy Reid,Doug Pederson,Andy Reid,1,1,high,Reid has called KC's plays every season of his tenure.
2014,NE,Bill Belichick,Josh McDaniels,Josh McDaniels,0,1,high,OC and play-caller under Bill Belichick; 2014/2016/2018 Super Bowl offenses.
2014,NO,Sean Payton,Pete Carmichael,Sean Payton,1,1,high,Payton called New Orleans' plays throughout; he stepped away after 2021 and Carmichael kept the calls in 2022. Added 2026-07-25 as a lineage mentor regime.
2015,ATL,Dan Quinn,Kyle Shanahan,Kyle Shanahan,0,0,high,OC and play-caller under defensive HC Dan Quinn; 2016 offense preceded the SF HC job.
2015,KC,Andy Reid,Doug Pederson,Andy Reid,1,1,high,
2015,NE,Bill Belichick,Josh McDaniels,Josh McDaniels,0,1,high,
2015,NO,Sean Payton,Pete Carmichael,Sean Payton,1,1,high,
2016,ATL,Dan Quinn,Kyle Shanahan,Kyle Shanahan,0,1,high,
2016,GB,Mike McCarthy,Edgar Bennett,Mike McCarthy,1,1,high,Reclaimed play-calling in Dec 2015 and kept it.
2016,KC,Andy Reid,Matt Nagy,Andy Reid,1,1,high,
2016,NE,Bill Belichick,Josh McDaniels,Josh McDaniels,0,1,high,
2016,NO,Sean Payton,Pete Carmichael,Sean Payton,1,1,high,
